Model,Method,Epsilon,Metric,Value
Ens_val_shadow,laplace_truedp,0.081,rec,0.71783789034044
Ens_val_shadow,laplace_truedp,0.081,pre,0.6509159767482825
Ens_val_shadow,laplace_truedp,0.081,f1,0.6827409408993279
Ens_val_shadow,laplace_truedp,0.071,acc,0.5787445098449311
Ens_val_shadow,laplace_truedp,0.071,rec,0.7156524695255209
Ens_val_shadow,laplace_truedp,0.071,pre,0.6412532637075719
Ens_val_shadow,laplace_truedp,0.071,f1,0.6764132106217439
Ens_val_shadow,laplace_truedp,0.01,acc,0.558397322895814
Ens_val_shadow,laplace_truedp,0.01,rec,0.6524209606138605
Ens_val_shadow,laplace_truedp,0.01,pre,0.6379826186066391
Ens_val_shadow,laplace_truedp,0.01,f1,0.645121014214368
Ens_val_shadow,laplace_truedp,0.61,acc,0.5980459529714064
Ens_val_shadow,laplace_truedp,0.61,rec,0.7518818901461803
Ens_val_shadow,laplace_truedp,0.61,pre,0.6497943423151179
Ens_val_shadow,laplace_truedp,0.61,f1,0.6971204718913928
Ens_val_shadow,laplace_truedp,1.41,acc,0.591233678926768
Ens_val_shadow,laplace_truedp,1.41,rec,0.7368267689767374
Ens_val_shadow,laplace_truedp,1.41,pre,0.6474353503456516
Ens_val_shadow,laplace_truedp,1.41,f1,0.6892447473026688
Ens_val_shadow,laplace_truedp,0.71,acc,0.5874391227703247
Ens_val_shadow,laplace_truedp,0.71,rec,0.733621485114856
Ens_val_shadow,laplace_truedp,0.71,pre,0.6447564983567374
Ens_val_shadow,laplace_truedp,0.71,f1,0.6863243980009087
